Sonde serial number                          	R2030028
Balloon release date and time                	2021-04-03T00:00:07
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
  78     2.2       344  973.6  21.7 92.7  20.5  12   5.2 297.7 23.183214 120.375408 15.69     366    202
  79     2.3       347  973.4  21.7 92.1  20.4  11   5.1 297.7 23.183172 120.375387 15.62     371    202
  80     2.5       349  973.1  21.7 91.3  20.3  11   5.0 297.7 23.183128 120.375361 15.51     377    202
  81     2.8       352  972.8  21.8 90.3  20.1  10   5.0 297.7 23.183080 120.375338 15.39     383    202
  82     3.3       355  972.4  21.9 89.4  20.0   9   4.9 297.8 23.183029 120.375323 15.30     388    202
  83     3.8       359  972.0  21.9 88.5  20.0   8   4.8 297.8 23.182978 120.375318 15.22     394    202
  84     4.4       363  971.5  22.0 87.5  19.8   7   4.7 297.8 23.182931 120.375320 15.09     399    202
  85     4.8       368  971.0  22.1 85.8  19.6   6   4.6 297.9 23.182889 120.375322 14.89     403    201
  86     4.9       373  970.4  22.2 83.7  19.3   5   4.5 298.0 23.182851 120.375323 14.66     407    201
  87     4.7       378  969.9  22.4 81.9  19.1   5   4.4 298.1 23.182817 120.375323 14.47     410    201
  88     4.2       382  969.4  22.5 81.0  19.1   4   4.4 298.2 23.182785 120.375325 14.39     414    201
  89     3.7       386  969.0  22.5 80.9  19.0   3   4.3 298.2 23.182754 120.375331 14.39     417    200
  90     3.1       389  968.7  22.5 80.8  19.0   2   4.2 298.2 23.182723 120.375344 14.37     419    200
  91     2.8       391  968.4  22.5 80.4  19.0   1   4.1 298.2 23.182692 120.375361 14.34     422    200
  92     2.7       394  968.1  22.5 79.9  18.9   1   4.0 298.3 23.182660 120.375380 14.27     425    199
  93     2.7       397  967.8  22.6 79.0  18.8 360   3.9 298.3 23.182626 120.375396 14.16     428    199
  94     2.8       400  967.4  22.6 77.8  18.6 359   3.8 298.3 23.182591 120.375406 14.01     431    199
  95     2.8       403  967.1  22.8 75.9  18.3 359   3.8 298.4 23.182555 120.375408 13.75     435    198
  96     2.7       405  966.9  23.0 73.1  17.9 358   3.7 298.5 23.182520 120.375402 13.41     439    198
  97     2.8       408  966.6  23.2 70.7  17.6 358   3.6 298.8 23.182488 120.375392 13.16     442    198
  98     2.9       411  966.2  23.4 69.5  17.5 357   3.6 298.9 23.182458 120.375381 13.08     446    198
  99     3.0       414  965.9  23.5 69.1  17.5 357   3.5 299.0 23.182430 120.375371 13.07     449    198
 100     3.0       417  965.5  23.5 68.9  17.5 357   3.4 299.0 23.182401 120.375364 13.04     452    198
 101     3.0       420  965.2  23.5 68.3  17.4 357   3.4 299.0 23.182369 120.375361 12.96     456    198
 102     3.2       423  964.9  23.6 67.7  17.3 357   3.3 299.1 23.182335 120.375361 12.89     459    198
 103     3.4       426  964.5  23.6 67.3  17.2 356   3.3 299.1 23.182300 120.375365 12.86     463    198
 104     3.4       430  964.1  23.6 67.1  17.2 356   3.2 299.1 23.182268 120.375372 12.84     466    198
 105     3.2       433  963.7  23.6 67.0  17.2 356   3.2 299.1 23.182239 120.375380 12.81     469    197
 106     3.0       436  963.4  23.6 66.8  17.1 357   3.1 299.1 23.182216 120.375387 12.78     471    197
 107     3.1       439  963.1  23.6 66.6  17.1 357   3.1 299.1 23.182196 120.375392 12.74     473    197
 108     3.4       443  962.8  23.7 66.3  17.0 357   3.1 299.1 23.182177 120.375395 12.71     475    197
 109     3.6       446  962.3  23.7 66.1  17.0 357   3.0 299.1 23.182158 120.375398 12.68     477    197
 110     3.6       450  961.9  23.6 66.0  16.9 357   3.0 299.1 23.182138 120.375403 12.65     479    197
 111     3.5       453  961.5  23.6 65.8  16.9 358   3.0 299.1 23.182115 120.375409 12.61     481    197
