Sonde serial number                          	R2030542
Balloon release date and time                	2021-04-02T21:00:01
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
  83     4.7       453  960.5  20.7  99.6  20.6  13   5.9 296.7 23.182499 120.376039 16.14     426    190
  84     4.6       457  960.0  20.7  99.6  20.6  13   5.9 296.7 23.182440 120.376023 16.12     432    190
  85     4.4       462  959.5  20.7  99.6  20.6  13   5.9 296.7 23.182382 120.376012 16.11     439    190
  86     4.3       466  959.1  20.7  99.7  20.6  14   5.9 296.7 23.182326 120.376005 16.12     445    190
  87     4.3       470  958.6  20.6  99.8  20.6  14   5.9 296.7 23.182273 120.376000 16.14     451    190
  88     4.3       475  958.1  20.6  99.9  20.6  14   5.9 296.7 23.182220 120.375994 16.14     457    190
  89     4.4       479  957.6  20.6 100.0  20.6  14   5.9 296.6 23.182168 120.375986 16.14     463    190
  90     4.4       483  957.2  20.6 100.0  20.6  14   5.9 296.6 23.182119 120.375974 16.13     468    190
  91     4.5       488  956.7  20.6 100.0  20.6  14   5.9 296.6 23.182070 120.375959 16.12     474    190
  92     4.5       492  956.2  20.5 100.0  20.5  14   5.8 296.6 23.182022 120.375942 16.12     479    190
  93     4.5       497  955.7  20.5 100.0  20.5  14   5.8 296.6 23.181971 120.375921 16.11     485    190
  94     4.5       501  955.2  20.5 100.0  20.5  14   5.8 296.5 23.181920 120.375899 16.10     491    190
  95     4.4       506  954.7  20.5 100.0  20.5  14   5.7 296.5 23.181867 120.375878 16.09     497    190
  96     4.4       510  954.2  20.5 100.0  20.5  14   5.7 296.5 23.181814 120.375858 16.09     504    191
  97     4.5       515  953.7  20.5 100.0  20.5  14   5.6 296.5 23.181760 120.375837 16.08     510    191
  98     4.6       519  953.2  20.5 100.0  20.5  14   5.6 296.5 23.181707 120.375816 16.07     516    191
  99     4.6       524  952.7  20.4 100.0  20.4  14   5.5 296.5 23.181654 120.375793 16.06     522    191
 100     4.6       529  952.2  20.4 100.0  20.4  13   5.5 296.4 23.181601 120.375772 16.06     528    191
 101     4.7       533  951.7  20.4 100.0  20.4  13   5.4 296.4 23.181547 120.375753 16.04     535    191
 102     4.8       538  951.2  20.4 100.0  20.4  13   5.3 296.4 23.181495 120.375739 16.03     541    191
 103     4.9       543  950.6  20.3 100.0  20.3  13   5.2 296.4 23.181445 120.375728 16.00     546    191
 104     4.9       548  950.1  20.3 100.0  20.3  13   5.1 296.3 23.181398 120.375720 15.97     551    191
 105     4.9       553  949.5  20.2  99.9  20.2  12   5.1 296.2 23.181354 120.375713 15.92     556    191
 106     4.9       558  949.0  20.2  99.8  20.2  12   5.0 296.2 23.181312 120.375707 15.88     561    191
 107     4.9       562  948.5  20.2  99.9  20.2  12   4.9 296.2 23.181271 120.375703 15.88     566    191
 108     4.8       567  947.9  20.2 100.0  20.2  12   4.8 296.2 23.181228 120.375701 15.89     570    191
 109     4.6       572  947.4  20.1 100.0  20.1  11   4.7 296.1 23.181186 120.375698 15.86     575    191
 110     4.5       576  946.9  20.1 100.0  20.1  11   4.6 296.1 23.181143 120.375697 15.85     580    191
 111     4.4       581  946.5  20.1 100.0  20.1  11   4.5 296.0 23.181103 120.375696 15.82     584    191
 112     4.5       585  946.0  20.0 100.0  20.0  11   4.4 296.0 23.181064 120.375695 15.79     588    191
 113     4.7       590  945.5  20.0 100.0  20.0  11   4.3 296.0 23.181027 120.375693 15.78     592    191
 114     5.0       595  944.9  20.0 100.0  20.0  11   4.2 296.0 23.180991 120.375690 15.77     596    191
 115     5.2       600  944.4  20.0 100.0  20.0  11   4.1 295.9 23.180956 120.375685 15.76     600    191
 116     5.5       606  943.8  20.0 100.0  20.0  11   4.0 295.9 23.180921 120.375679 15.75     604    191
 117     5.6       611  943.2  19.9 100.0  19.9  11   3.9 295.9 23.180887 120.375672 15.73     608    191
 118     5.5       617  942.5  19.9 100.0  19.9  11   3.9 295.9 23.180855 120.375666 15.72     612    191
 119     5.2       622  941.9  19.9 100.0  19.9  11   3.8 295.9 23.180825 120.375659 15.72     615    191
 120     5.0       627  941.5  19.9 100.0  19.9  11   3.7 295.9 23.180797 120.375650 15.73     618    191
 121     5.0       632  940.9  19.9  99.4  19.8  11   3.6 295.9 23.180770 120.375638 15.65     621    191
 122     5.3       637  940.3  19.9  98.8  19.7  11   3.6 295.8 23.180743 120.375623 15.56     625    191
 123     5.4       643  939.7  19.9  98.6  19.7  11   3.5 295.8 23.180716 120.375605 15.54     628    191
 124     5.2       648  939.1  19.8  98.7  19.6  11   3.5 295.8 23.180691 120.375589 15.50     631    191
 125     4.9       653  938.6  19.8  98.0  19.5  11   3.4 295.7 23.180667 120.375576 15.38     634    191
 126     4.7       657  938.1  19.9  96.1  19.3  11   3.4 295.8 23.180647 120.375568 15.17     636    191
 127     4.6       662  937.6  20.1  93.1  18.9  11   3.3 295.9 23.180629 120.375566 14.85     638    191
 128     4.7       667  937.1  20.3  89.5  18.5  11   3.3 296.0 23.180610 120.375567 14.46     640    191
 129     4.9       672  936.6  20.6  85.9  18.1  11   3.3 296.2 23.180587 120.375569 14.10     643    191
 130     5.3       677  936.0  20.8  83.3  17.9  11   3.3 296.4 23.180559 120.375570 13.85     646    191
 131     5.5       682  935.4  20.9  81.7  17.7  11   3.2 296.5 23.180527 120.375568 13.70     649    191
 132     5.6       688  934.8  21.0  79.9  17.4  11   3.2 296.5 23.180495 120.375564 13.46     653    191
 133     5.4       693  934.2  21.1  77.4  17.0  11   3.2 296.6 23.180464 120.375556 13.09     656    191
 134     5.1       699  933.7  21.1  74.5  16.4  11   3.2 296.6 23.180434 120.375546 12.65     660    191
 135     4.9       703  933.2  21.3  72.1  16.1  11   3.2 296.7 23.180404 120.375534 12.38     663    191
 136     4.7       708  932.7  21.6  70.6  16.0  11   3.1 296.9 23.180375 120.375526 12.32     667    191
 137     4.7       713  932.1  21.8  69.9  16.1  10   3.1 297.1 23.180345 120.375521 12.36     670    191
 138     4.8       718  931.6  21.9  69.8  16.1  10   3.1 297.3 23.180314 120.375520 12.43     673    191
 139     4.9       723  931.1  21.9  69.9  16.2  10   3.1 297.3 23.180282 120.375521 12.49     677    191
 140     4.9       728  930.6  22.0  69.5  16.2  10   3.1 297.4 23.180250 120.375520 12.46     680    191
 141     4.8       732  930.1  22.0  68.7  16.0  10   3.1 297.4 23.180217 120.375516 12.34     684    191
 142     4.6       737  929.6  22.0  67.6  15.8  10   3.0 297.4 23.180184 120.375508 12.16     688    191
 143     4.3       741  929.1  22.1  66.5  15.6  10   3.0 297.4 23.180151 120.375499 12.00     691    191
 144     4.0       745  928.7  22.1  65.9  15.5  10   3.0 297.4 23.180117 120.375489 11.93     695    191
 145     3.8       749  928.3  22.1  65.9  15.5  10   2.9 297.4 23.180085 120.375482 11.94     699    191
 146     3.8       753  927.9  22.1  66.0  15.5  10   2.9 297.4 23.180056 120.375476 11.94     702    191
 147     3.8       757  927.5  22.1  65.9  15.4  10   2.9 297.4 23.180031 120.375472 11.92     705    191
 148     3.7       760  927.1  22.1  65.8  15.4  10   2.8 297.4 23.180010 120.375467 11.91     707    191
 149     3.7       764  926.7  22.0  65.9  15.4  10   2.8 297.3 23.179992 120.375462 11.91     709    191
 150     3.5       768  926.3  22.0  66.0  15.4  10   2.8 297.3 23.179974 120.375458 11.91     711    191
 151     3.4       771  925.9  22.0  66.1  15.4  10   2.7 297.3 23.179958 120.375456 11.92     713    191
 152     3.4       774  925.6  22.0  66.3  15.4  10   2.7 297.3 23.179942 120.375454 11.93     715    191
 153     3.3       778  925.2  21.9  66.5  15.4  10   2.7 297.2 23.179925 120.375454 11.95     717    191
 154     3.4       781  924.9  21.9  66.7  15.5   9   2.6 297.2 23.179906 120.375452 11.97     719    191
 155     3.4       784  924.5  21.9  66.9  15.5   9   2.6 297.2 23.179885 120.375449 11.98     721    191
 156     3.3       788  924.2  21.8  66.9  15.4   9   2.5 297.1 23.179861 120.375442 11.97     724    191
 157     3.1       791  923.8  21.8  67.0  15.4   8   2.5 297.1 23.179835 120.375433 11.96     727    191
 158     2.8       794  923.5  21.8  67.0  15.4   7   2.5 297.1 23.179807 120.375421 11.96     730    191
 159     2.7       796  923.3  21.7  67.2  15.4   7   2.4 297.0 23.179778 120.375408 11.96     734    191
 160     2.8       799  923.0  21.7  67.2  15.4   6   2.4 297.0 23.179751 120.375395 11.96     737    191
 161     3.1       802  922.6  21.7  67.4  15.4   5   2.3 297.0 23.179724 120.375381 11.97     740    191
 162     3.5       806  922.3  21.7  67.6  15.4   4   2.3 297.0 23.179699 120.375369 11.99     743    191
 163     3.9       810  921.8  21.6  67.8  15.4   3   2.3 296.9 23.179677 120.375361 12.00     746    191
 164     4.3       814  921.4  21.6  67.8  15.4   1   2.2 296.9 23.179659 120.375358 12.00     748    191
 165     4.6       818  920.9  21.6  67.8  15.4   0   2.2 296.9 23.179643 120.375360 11.96     749    191
 166     4.7       823  920.4  21.5  67.6  15.3 359   2.2 296.8 23.179629 120.375366 11.92     751    191
 167     4.6       828  919.9  21.5  67.5  15.3 357   2.2 296.8 23.179616 120.375375 11.89     752    191
