Sonde serial number                          	S2251087
Balloon release date and time                	2021-04-01T12:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp   RH Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C    %   °C   °   m/s     K         °          °  g/kg       m      °
  77     4.9       418  961.8 23.4 86.6 21.1 250   1.1 299.5 23.185866 120.377052 16.46      56    148
  78     5.2       424  961.3 23.4 86.8 21.0 249   1.1 299.5 23.185862 120.377064 16.45      57    148
  79     4.8       428  960.8 23.3 86.9 21.0 248   1.1 299.4 23.185861 120.377076 16.45      58    147
  80     3.8       432  960.3 23.3 87.0 21.0 248   1.1 299.4 23.185864 120.377087 16.44      58    145
  81     4.6       437  959.7 23.2 87.3 21.0 247   1.1 299.4 23.185871 120.377098 16.46      58    144
  82     4.7       441  959.2 23.2 87.6 21.0 246   1.1 299.3 23.185877 120.377108 16.49      58    143
  83     4.7       446  958.7 23.1 88.0 21.0 246   1.1 299.3 23.185882 120.377122 16.52      59    141
  84     5.4       452  958.1 23.1 88.3 21.1 245   1.1 299.2 23.185886 120.377140 16.54      59    140
  85     5.6       457  957.6 23.0 88.5 21.0 245   1.1 299.2 23.185891 120.377162 16.54      60    138
  86     5.0       462  957.1 23.0 88.6 21.0 245   1.0 299.1 23.185898 120.377183 16.53      61    136
  87     4.6       467  956.5 23.0 88.8 21.0 244   1.0 299.1 23.185909 120.377195 16.52      61    134
  88     5.5       472  956.0 22.9 89.0 21.0 244   1.0 299.0 23.185922 120.377197 16.52      61    133
  89     4.5       477  955.4 22.9 89.1 21.0 244   0.9 299.0 23.185938 120.377195 16.52      59    132
  90     4.2       481  954.9 22.8 89.1 21.0 244   0.9 299.0 23.185953 120.377193 16.50      58    131
  91     4.7       486  954.4 22.8 89.2 20.9 244   0.8 298.9 23.185965 120.377194 16.48      57    130
  92     5.3       491  953.8 22.8 89.3 20.9 244   0.8 298.9 23.185972 120.377196 16.48      57    129
  93     5.8       497  953.3 22.7 89.4 20.9 244   0.7 298.9 23.185973 120.377198 16.48      57    129
  94     5.4       502  952.7 22.7 89.4 20.9 245   0.7 298.8 23.185971 120.377201 16.45      57    129
  95     4.7       507  952.1 22.7 89.3 20.8 246   0.6 298.8 23.185968 120.377205 16.42      58    129
  96     4.8       512  951.6 22.6 89.4 20.8 247   0.5 298.7 23.185967 120.377209 16.40      58    129
  97     5.6       517  951.1 22.6 89.4 20.8 249   0.4 298.7 23.185969 120.377214 16.36      58    128
  98     5.3       523  950.5 22.6 89.3 20.7 251   0.4 298.7 23.185972 120.377219 16.32      59    128
