Sonde serial number                          	S2251154
Balloon release date and time                	2021-04-01T10:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
 111     5.4       669  933.8  22.4 82.2  19.2 217   1.8 298.2 23.186064 120.378326 15.09     166    102
 112     5.3       675  933.2  22.4 78.9  18.6 217   1.8 298.2 23.186065 120.378337 14.54     167    101
 113     5.7       680  932.6  22.6 74.6  17.9 216   1.9 298.3 23.186078 120.378340 13.88     167    101
 114     5.2       686  932.0  22.7 71.8  17.4 216   1.9 298.3 23.186101 120.378343 13.47     167    100
 115     5.4       691  931.4  22.8 70.7  17.2 215   1.9 298.3 23.186126 120.378351 13.31     167     99
 116     6.2       697  930.8  22.8 70.3  17.1 215   2.0 298.4 23.186147 120.378365 13.26     168     98
 117     6.2       703  930.2  22.8 69.6  17.0 214   2.0 298.3 23.186158 120.378381 13.12     170     98
 118     5.6       709  929.6  22.8 66.8  16.4 214   2.0 298.3 23.186162 120.378395 12.63     171     97
 119     4.6       714  929.0  23.0 62.1  15.4 213   2.1 298.3 23.186165 120.378405 11.84     172     97
 120     5.4       719  928.4  23.2 57.4  14.4 213   2.1 298.4 23.186177 120.378412 11.08     172     97
 121     5.6       725  927.8  23.4 53.8  13.5 213   2.2 298.5 23.186202 120.378419 10.50     173     96
 122     7.8       732  927.2  23.6 51.4  13.0 212   2.2 298.6 23.186239 120.378427 10.15     173     95
 123     6.5       739  926.5  23.7 50.5  12.8 212   2.2 298.6 23.186283 120.378436 10.01     174     93
 124     4.2       743  925.9  23.7 50.1  12.7 212   2.3 298.6 23.186323 120.378444  9.94     175     91
 125     5.7       749  925.3  23.7 49.5  12.6 212   2.3 298.6 23.186350 120.378451  9.85     175     90
 126     7.1       756  924.6  23.7 48.8  12.4 212   2.3 298.7 23.186361 120.378458  9.73     176     90
 127     4.5       760  924.0  23.8 48.2  12.2 211   2.3 298.7 23.186361 120.378468  9.64     177     90
 128     5.9       766  923.3  23.7 48.1  12.1 211   2.4 298.6 23.186361 120.378479  9.61     178     90
 129     7.0       773  922.7  23.7 48.1  12.1 211   2.4 298.6 23.186368 120.378491  9.60     179     90
 130     7.9       781  922.0  23.7 48.2  12.1 211   2.4 298.6 23.186383 120.378500  9.60     180     89
 131     7.2       788  921.3  23.6 48.4  12.1 211   2.4 298.5 23.186405 120.378507  9.63     181     89
 132     3.9       792  920.7  23.6 49.2  12.3 211   2.5 298.5 23.186427 120.378516  9.75     182     88
 133     7.2       800  920.0  23.5 51.1  12.9 211   2.5 298.5 23.186446 120.378532 10.13     184     87
 134     6.0       806  919.4  23.4 54.4  13.8 211   2.5 298.5 23.186463 120.378555 10.75     186     87
 135     4.8       810  918.7  23.4 57.4  14.5 211   2.5 298.6 23.186480 120.378582 11.32     189     86
 136     8.1       819  918.1  23.4 58.6  14.8 210   2.5 298.6 23.186496 120.378606 11.55     192     86
 137     6.4       825  917.4  23.4 57.6  14.6 210   2.5 298.6 23.186514 120.378623 11.36     194     85
 138     5.3       830  916.8  23.4 55.8  14.1 210   2.5 298.5 23.186536 120.378634 11.00     195     84
