100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_fd,H1_SNR,H1_FWHM,H2_fd,H2_SNR,H2_FWHM,H3_fd,H3_SNR,H3_FWHM,H4_fd,H4_SNR,H4_FWHM,H5_fd,H5_SNR,H5_FWHM,H6_fd,H6_SNR,H6_FWHM,H7_fd,H7_SNR,H7_FWHM,H8_fd,H8_SNR,H8_FWHM,H9_fd,H9_SNR,H9_FWHM,H10_fd,H10_SNR,H10_FWHM,H1_fd,H1_SNR,H1_FWHM,H2_fd,H2_SNR,H2_FWHM,H3_fd,H3_SNR,H3_FWHM,H4_fd,H4_SNR,H4_FWHM,H5_fd,H5_SNR,H5_FWHM,H6_fd,H6_SNR,H6_FWHM,H7_fd,H7_SNR,H7_FWHM,H8_fd,H8_SNR,H8_FWHM,H9_fd,H9_SNR,H9_FWHM,H10_fd,H10_SNR,H10_FWHM,H1_fd,H1_SNR,H1_FWHM,H2_fd,H2_SNR,H2_FWHM,H3_fd,H3_SNR,H3_FWHM,H4_fd,H4_SNR,H4_FWHM,H5_fd,H5_SNR,H5_FWHM,H6_fd,H6_SNR,H6_FWHM,H7_fd,H7_SNR,H7_FWHM,H8_fd,H8_SNR,H8_FWHM,H9_fd,H9_SNR,H9_FWHM,H10_fd,H10_SNR,H10_FWHM,H1_fd,H1_SNR,H1_FWHM,H2_fd,H2_SNR,H2_FWHM,H3_fd,H3_SNR,H3_FWHM,H4_fd,H4_SNR,H4_FWHM,H5_fd,H5_SNR,H5_FWHM,H6_fd,H6_SNR,H6_FWHM,H7_fd,H7_SNR,H7_FWHM,H8_fd,H8_SNR,H8_FWHM,H9_fd,H9_SNR,H9_FWHM,H10_fd,H10_SNR,H10_FWHM,H1_fd,H1_SNR,H1_FWHM,H2_fd,H2_SNR,H2_FWHM,H3_fd,H3_SNR,H3_FWHM,H4_fd,H4_SNR,H4_FWHM,H5_fd,H5_SNR,H5_FWHM,H6_fd,H6_SNR,H6_FWHM,H7_fd,H7_SNR,H7_FWHM,H8_fd,H8_SNR,H8_FWHM,H9_fd,H9_SNR,H9_FWHM,H10_fd,H10_SNR,H10_FWHM,H1_fd,H1_SNR,H1_FWHM,H2_fd,H2_SNR,H2_FWHM,H3_fd,H3_SNR,H3_FWHM,H4_fd,H4_SNR,H4_FWHM,H5_fd,H5_SNR,H5_FWHM,H6_fd,H6_SNR,H6_FWHM,H7_fd,H7_SNR,H7_FWHM,H8_fd,H8_SNR,H8_FWHM,H9_fd,H9_SNR,H9_FWHM,H10_fd,H10_SNR,H10_FWHM
20210401_17:00:06.30,99.9,99.9,999.9,004,0.73,0.11,99.90,-0.73,0.49,99.90,0.73,0.42,99.90,1.22,0.29,99.90,0.49,0.24,99.90,-1.46,-0.16,99.90,0.73,-0.27,99.90,1.22,0.04,99.90,0.73,0.18,99.90,4.64,-0.27,99.90
20210401_17:00:06.30,99.9,99.9,999.9,005,0.98,0.68,99.90,-0.49,1.33,99.90,0.00,0.63,99.90,1.46,0.05,99.90,4.39,0.07,99.90,0.00,0.24,99.90,5.37,-0.02,99.90,1.71,0.15,99.90,0.73,-0.00,99.90,0.98,0.32,99.90
20210401_17:00:06.83,99.9,99.9,999.9,001,-2.20,0.01,99.90,-1.22,0.65,99.90,-0.98,0.70,99.90,0.49,-0.15,99.90,-0.73,-0.11,99.90,0.49,-0.06,99.90,0.73,-0.23,99.90,0.73,0.41,99.90,1.22,0.21,99.90,0.73,-0.06,99.90
20210401_17:00:06.83,99.9,99.9,999.9,002,0.98,-0.05,99.90,-0.24,0.35,99.90,-0.24,0.60,99.90,-0.24,0.64,99.90,0.98,0.69,99.90,0.24,0.90,99.90,0.73,1.05,99.90,-0.49,0.21,99.90,0.49,0.90,99.90,0.98,0.20,99.90
20210401_17:00:06.83,99.9,99.9,999.9,003,0.49,0.47,99.90,-0.49,0.58,99.90,-0.49,1.57,99.90,-0.49,0.69,99.90,-0.24,0.77,99.90,-0.24,0.72,99.90,-0.24,-0.01,99.90,0.00,1.38,99.90,0.49,0.69,99.90,0.73,-0.25,99.90
20210401_17:00:06.83,99.9,99.9,999.9,004,1.46,0.13,99.90,-0.24,0.15,99.90,-0.73,0.91,99.90,-0.24,1.24,99.90,0.00,0.33,99.90,0.73,-0.01,99.90,5.86,-0.24,99.90,5.13,-0.14,99.90,0.24,0.74,99.90,0.73,0.13,99.90
20210401_17:00:06.83,99.9,99.9,999.9,005,0.24,0.36,99.90,-0.49,1.77,99.90,-0.73,0.35,99.90,-0.24,-0.00,99.90,0.24,0.35,99.90,-0.24,0.63,99.90,0.49,-0.03,99.90,0.00,0.32,99.90,0.49,0.33,99.90,0.49,0.11,99.90
20210401_17:00:07.35,99.9,99.9,999.9,001,-0.73,-0.01,99.90,-0.73,0.22,99.90,-0.24,1.00,99.90,-1.22,-0.16,99.90,-2.69,-0.14,99.90,1.22,0.79,99.90,4.88,0.03,99.90,-1.46,-0.05,99.90,1.22,0.49,99.90,1.22,-0.07,99.90
20210401_17:00:07.35,99.9,99.9,999.9,002,0.00,0.09,99.90,-0.24,0.72,99.90,-0.98,0.50,99.90,0.00,0.38,99.90,0.00,0.28,99.90,0.00,0.17,99.90,4.64,-0.03,99.90,0.24,0.08,99.90,0.73,0.53,99.90,1.22,0.37,99.90
20210401_17:00:07.35,99.9,99.9,999.9,003,1.95,-0.13,99.90,-0.24,1.01,99.90,0.24,0.87,99.90,-0.24,1.15,99.90,-0.49,1.01,99.90,0.00,0.52,99.90,0.24,0.60,99.90,0.49,0.60,99.90,0.24,0.16,99.90,0.49,0.39,99.90
