100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_09:00:05.52,99.9,99.9,999.9,001,0.73,0.00,0.29,0.79,90.00,0.73,0.00,0.29,0.79,90.00,0.37,0.00,0.24,0.44,90.00,0.00,0.37,0.34,0.50,0.00,-0.37,-0.37,0.59,0.78,225.00,0.00,0.37,0.34,0.50,0.00,0.00,0.73,0.39,0.83,0.00,0.00,0.18,0.37,0.41,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:00:06.05,99.9,99.9,999.9,001,0.73,-1.46,0.49,1.71,153.43,0.73,0.37,0.34,0.89,63.43,0.73,0.00,0.20,0.76,90.00,0.00,0.73,0.39,0.83,0.00,-0.37,0.73,0.64,1.04,333.43,0.00,0.37,0.34,0.50,0.00,0.00,0.73,0.39,0.83,0.00,0.00,0.18,0.37,0.41,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00
20201120_09:00:06.58,99.9,99.9,999.9,001,0.37,-1.46,0.54,1.60,165.96,0.73,0.37,0.34,0.89,63.43,0.73,-0.73,0.20,1.05,135.00,0.00,0.37,0.34,0.50,0.00,-0.37,0.00,0.54,0.65,270.00,0.00,0.37,0.34,0.50,0.00,0.00,0.73,0.39,0.83,0.00,-0.37,0.18,0.32,0.52,296.57,0.00,0.00,0.39,0.39,0.00,0.00,0.37,0.34,0.50,0.00
20201120_09:00:07.10,99.9,99.9,999.9,001,0.73,-1.46,0.49,1.71,153.43,0.73,0.37,0.34,0.89,63.43,0.73,-0.73,0.20,1.05,135.00,0.00,0.73,0.39,0.83,0.00,-0.37,0.00,0.54,0.65,270.00,0.00,0.37,0.34,0.50,0.00,0.00,0.73,0.39,0.83,0.00,0.00,0.18,0.27,0.33,0.00,-0.37,0.00,0.44,0.57,270.00,0.00,4.20,-0.17,4.21,0.00
20201120_09:00:07.63,99.9,99.9,999.9,001,0.73,-1.46,0.49,1.71,153.43,1.10,-0.37,0.29,1.19,108.43,1.10,-0.73,0.15,1.33,123.69,0.37,0.73,0.34,0.89,26.57,-0.73,0.37,0.73,1.10,296.57,0.00,0.37,0.34,0.50,0.00,0.00,0.37,0.44,0.57,0.00,-0.37,0.18,0.32,0.52,296.57,-0.37,0.00,0.44,0.57,270.00,0.00,8.41,-0.73,8.44,0.00
20201120_09:00:08.16,99.9,99.9,999.9,001,0.73,-1.46,0.49,1.71,153.43,1.10,-0.37,0.29,1.19,108.43,1.10,-0.73,0.15,1.33,123.69,0.37,0.73,0.34,0.89,26.57,-0.73,0.37,0.73,1.10,296.57,0.00,0.37,0.34,0.50,0.00,0.00,0.73,0.39,0.83,0.00,0.00,0.37,0.34,0.50,0.00,-0.37,-0.37,0.49,0.71,225.00,0.00,8.59,-0.76,8.62,0.00
20201120_09:00:08.69,99.9,99.9,999.9,001,0.73,-2.74,0.66,2.91,165.07,1.46,-0.73,0.29,1.66,116.57,1.10,-1.10,0.29,1.58,135.00,1.10,0.00,0.34,1.15,90.00,-0.73,0.37,0.73,1.10,296.57,0.00,4.02,-0.15,4.02,0.00,0.00,0.73,0.39,0.83,0.00,0.00,0.37,0.24,0.44,0.00,-0.37,-1.83,0.69,1.99,191.31,0.00,8.59,-0.76,8.62,0.00
20201120_09:00:09.21,99.9,99.9,999.9,001,0.73,-2.19,0.49,2.36,161.57,1.83,-0.73,0.24,1.98,111.80,1.10,-1.10,0.29,1.58,135.00,1.10,-0.37,0.39,1.22,108.43,-0.73,-1.46,0.98,1.91,206.57,0.00,5.85,-0.39,5.86,0.00,0.00,-0.18,0.51,0.55,180.00,-0.37,0.37,0.29,0.59,315.00,-0.37,-1.83,0.69,1.99,191.31,0.00,8.59,-0.76,8.62,0.00
20201120_09:00:09.74,99.9,99.9,999.9,001,0.73,-2.19,0.49,2.36,161.57,2.19,-0.73,0.29,2.33,108.43,1.46,-1.10,0.34,1.86,126.87,1.10,-0.37,0.39,1.22,108.43,-0.73,-1.46,1.08,1.96,206.57,0.37,5.85,-0.44,5.88,3.58,0.37,-0.91,0.66,1.19,158.20,0.00,0.37,0.24,0.44,0.00,-0.73,-1.83,0.83,2.14,201.80,0.00,8.59,-0.76,8.62,0.00
20201120_09:00:10.27,99.9,99.9,999.9,001,0.73,-1.83,0.44,2.02,158.20,2.56,-0.73,0.34,2.68,105.95,1.46,-0.73,0.29,1.66,116.57,1.10,-0.37,0.39,1.22,108.43,-0.73,-1.46,1.08,1.96,206.57,0.18,5.85,-0.42,5.87,1.79,0.00,-0.55,0.66,0.86,180.00,0.00,0.37,0.24,0.44,0.00,-0.73,-1.28,0.76,1.66,209.74,0.00,8.59,-0.76,8.62,0.00
20201120_09:00:10.79,99.9,99.9,999.9,001,0.73,-1.83,0.44,2.02,158.20,2.92,-0.37,0.34,2.97,97.13,1.10,-1.10,0.29,1.58,135.00,1.10,-0.73,0.34,1.36,123.69,-0.55,-1.46,1.05,1.88,200.56,0.18,5.85,-0.42,5.87,1.79,0.00,-0.91,0.61,1.10,180.00,0.00,0.37,0.24,0.44,0.00,-0.73,-1.28,0.76,1.66,209.74,-0.18,8.59,-0.73,8.62,358.78
20201120_09:00:11.32,99.9,99.9,999.9,001,0.91,-1.83,0.42,2.09,153.43,2.92,-0.73,0.29,3.03,104.04,1.10,-1.46,0.34,1.86,143.13,1.10,-1.10,0.39,1.60,135.00,-0.73,-1.46,0.98,1.91,206.57,0.18,5.85,-0.42,5.87,1.79,0.00,-1.28,0.56,1.40,180.00,0.00,0.37,0.24,0.44,0.00,-0.73,-1.28,0.76,1.66,209.74,-0.18,8.59,-0.73,8.62,358.78
20201120_09:00:11.85,99.9,99.9,999.9,001,0.91,-1.83,0.42,2.09,153.43,2.92,-0.73,0.29,3.03,104.04,1.46,-1.10,0.24,1.84,126.87,1.10,-1.10,0.39,1.60,135.00,3.84,-2.19,0.47,4.44,119.74,0.73,5.85,-0.49,5.91,7.13,0.00,-1.10,0.54,1.22,180.00,0.37,0.37,0.29,0.59,45.00,-0.37,-1.64,0.76,1.85,192.53,-0.18,8.41,-0.71,8.44,358.75
20201120_09:00:12.37,99.9,99.9,999.9,001,1.10,-1.83,0.49,2.19,149.04,2.92,-0.73,0.29,3.03,104.04,2.92,-0.73,0.00,3.01,104.04,1.10,-0.73,0.34,1.36,123.69,8.41,-2.19,-0.34,8.70,104.62,1.83,3.66,-0.44,4.11,26.57,0.00,-1.10,0.54,1.22,180.00,0.00,0.37,0.34,0.50,0.00,-0.37,-0.91,0.86,1.31,201.80,0.73,8.41,-0.64,8.46,4.97
20201120_09:00:12.90,99.9,99.9,999.9,001,0.73,-1.83,0.44,2.02,158.20,2.56,-0.37,0.20,2.59,98.13,2.92,-0.73,0.00,3.01,104.04,1.10,-0.73,0.34,1.36,123.69,8.41,-1.64,-0.42,8.58,101.07,1.83,3.66,-0.44,4.11,26.57,0.00,-1.10,0.54,1.22,180.00,-0.37,0.37,0.29,0.59,315.00,-0.37,-0.91,0.86,1.31,201.80,0.00,8.41,-0.73,8.44,0.00
20201120_09:00:13.43,99.9,99.9,999.9,001,0.37,-1.28,0.56,1.44,164.05,2.56,-0.37,0.20,2.59,98.13,2.92,-0.73,0.00,3.01,104.04,1.10,-0.73,0.34,1.36,123.69,3.47,-0.37,0.27,3.50,96.01,-0.37,1.64,0.12,1.69,347.47,-1.10,0.00,0.64,1.27,270.00,-1.46,0.00,0.49,1.54,270.00,3.29,-0.73,0.24,3.38,102.53,-0.37,0.00,0.44,0.57,270.00
20201120_09:00:13.96,99.9,99.9,999.9,001,0.00,-0.37,0.64,0.73,180.00,2.56,-0.37,0.20,2.59,98.13,2.92,-0.73,0.00,3.01,104.04,2.38,-0.37,0.12,2.41,98.75,3.47,0.00,0.32,3.49,90.00,1.83,-2.74,-0.22,3.30,146.31,-1.10,0.00,0.64,1.27,270.00,-1.10,0.18,0.51,1.22,279.46,7.68,-0.18,-0.47,7.69,91.36,-0.37,0.37,0.39,0.65,315.00
20201120_09:00:14.48,99.9,99.9,999.9,001,0.00,0.00,0.59,0.59,0.00,2.56,-0.73,0.15,2.67,105.95,1.83,-0.73,0.15,1.97,111.80,0.37,0.00,0.34,0.50,90.00,-1.46,1.10,0.83,2.01,306.87,1.83,-2.74,-0.22,3.30,146.31,-1.10,0.00,0.64,1.27,270.00,-1.10,0.37,0.49,1.26,288.43,3.66,-0.18,0.07,3.66,92.86,-0.37,0.00,0.44,0.57,270.00
20201120_09:00:15.01,99.9,99.9,999.9,001,0.00,1.10,0.44,1.18,0.00,1.83,-0.37,0.20,1.87,101.31,0.73,-0.73,0.29,1.07,135.00,0.37,0.00,0.34,0.50,90.00,-1.46,1.46,0.78,2.21,315.00,1.83,-2.74,-0.22,3.30,146.31,-1.10,0.37,0.59,1.30,288.43,-1.10,0.00,0.54,1.22,270.00,3.66,0.55,-0.02,3.70,81.47,-0.37,0.00,0.44,0.57,270.00
20201120_09:00:15.54,99.9,99.9,999.9,001,0.00,1.10,0.44,1.18,0.00,1.10,-0.37,0.29,1.19,108.43,0.73,-0.37,0.24,0.85,116.57,0.37,0.00,0.34,0.50,90.00,-1.46,1.10,0.83,2.01,306.87,1.83,0.00,0.15,1.83,90.00,-1.10,0.37,0.59,1.30,288.43,-1.10,0.00,0.54,1.22,270.00,3.66,0.55,-0.02,3.70,81.47,-0.37,0.00,0.44,0.57,270.00
20201120_09:00:16.06,99.9,99.9,999.9,001,0.00,0.00,0.29,0.29,0.00,1.10,-0.37,0.29,1.19,108.43,0.73,-0.37,0.24,0.85,116.57,0.37,0.00,0.34,0.50,90.00,-1.46,0.73,0.78,1.81,296.57,1.83,0.00,0.15,1.83,90.00,-1.10,0.00,0.54,1.22,270.00,-1.10,0.00,0.54,1.22,270.00,3.66,0.18,-0.07,3.66,87.14,-0.37,0.00,0.44,0.57,270.00
20201120_09:00:16.59,99.9,99.9,999.9,001,0.00,0.18,0.32,0.37,0.00,1.46,-0.37,0.24,1.53,104.04,1.10,0.00,0.24,1.12,90.00,0.37,0.00,0.34,0.50,90.00,-1.46,0.73,0.78,1.81,296.57,1.83,0.00,0.15,1.83,90.00,-1.10,0.00,0.54,1.22,270.00,-1.10,0.73,0.64,1.46,303.69,3.66,0.18,-0.07,3.66,87.14,0.00,0.00,0.49,0.49,0.00
20201120_09:00:17.12,99.9,99.9,999.9,001,0.18,0.18,0.29,0.39,45.00,1.10,-0.37,0.29,1.19,108.43,1.10,0.00,0.24,1.12,90.00,0.00,0.00,0.39,0.39,0.00,-1.46,0.73,0.78,1.81,296.57,-0.37,0.00,0.44,0.57,270.00,-1.10,0.00,0.54,1.22,270.00,-0.91,0.73,0.61,1.32,308.66,0.00,0.37,0.54,0.65,0.00,0.00,0.00,0.49,0.49,0.00
20201120_09:00:17.64,99.9,99.9,999.9,001,0.37,0.18,0.27,0.49,63.43,1.10,0.00,0.24,1.12,90.00,0.73,0.00,0.29,0.79,90.00,0.37,0.00,0.34,0.50,90.00,-0.37,0.73,0.93,1.24,333.43,-0.18,0.00,0.42,0.45,270.00,-1.10,0.00,0.54,1.22,270.00,-0.73,0.73,0.59,1.19,315.00,0.00,0.37,0.54,0.65,0.00,-0.18,0.00,0.42,0.45,270.00
20201120_09:00:18.17,99.9,99.9,999.9,001,0.37,0.18,0.27,0.49,63.43,1.10,0.00,0.24,1.12,90.00,0.37,0.00,0.34,0.50,90.00,0.00,0.00,0.39,0.39,0.00,-0.37,0.73,0.93,1.24,333.43,0.00,0.00,0.39,0.39,0.00,-0.37,0.00,0.44,0.57,270.00,-0.73,0.73,0.59,1.19,315.00,0.00,0.37,0.54,0.65,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:00:18.70,99.9,99.9,999.9,001,0.37,0.18,0.27,0.49,63.43,1.10,0.00,0.24,1.12,90.00,0.37,-0.37,0.29,0.59,135.00,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.88,1.15,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,-0.73,0.73,0.59,1.19,315.00,0.00,0.37,0.54,0.65,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:00:19.23,99.9,99.9,999.9,001,0.37,0.18,0.27,0.49,63.43,0.73,0.00,0.29,0.79,90.00,1.10,-0.37,0.29,1.19,108.43,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.88,1.15,0.00,0.37,0.00,0.44,0.57,90.00,0.37,0.00,0.44,0.57,90.00,-0.73,0.73,0.59,1.19,315.00,0.00,0.37,0.54,0.65,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:00:19.75,99.9,99.9,999.9,001,0.37,0.00,0.24,0.44,90.00,0.73,0.00,0.39,0.83,90.00,1.83,0.00,0.34,1.86,90.00,-0.37,-0.37,0.29,0.59,225.00,1.10,0.73,0.83,1.56,56.31,0.37,0.00,0.44,0.57,90.00,0.37,0.00,0.44,0.57,90.00,-0.37,0.73,0.64,1.04,333.43,0.73,0.37,0.54,0.98,63.43,0.37,0.00,0.44,0.57,90.00
20201120_09:00:20.28,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.10,0.00,0.34,1.15,90.00,1.83,-0.37,0.29,1.89,101.31,-0.37,0.00,0.34,0.50,270.00,0.73,0.37,0.83,1.17,63.43,0.00,0.00,0.39,0.39,0.00,0.37,-0.37,0.49,0.71,135.00,-0.73,0.73,0.59,1.19,315.00,0.00,0.00,0.49,0.49,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:00:20.81,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.10,-0.37,0.29,1.19,108.43,1.83,-0.37,0.29,1.89,101.31,0.00,0.00,0.29,0.29,0.00,0.73,0.00,0.78,1.07,90.00,0.00,-0.37,0.44,0.57,180.00,0.37,-0.37,0.49,0.71,135.00,0.00,0.73,0.49,0.88,0.00,0.37,0.37,0.49,0.71,45.00,0.37,-0.37,0.49,0.71,135.00
20201120_09:00:21.33,99.9,99.9,999.9,001,0.00,-0.37,0.24,0.44,180.00,1.10,-0.37,0.29,1.19,108.43,1.83,-0.73,0.44,2.02,111.80,-0.37,0.00,0.34,0.50,270.00,1.10,0.00,0.83,1.38,90.00,0.00,0.00,0.49,0.49,0.00,0.37,-0.37,0.49,0.71,135.00,-0.37,0.73,0.54,0.98,333.43,0.00,-0.37,0.54,0.65,180.00,0.37,-0.37,0.49,0.71,135.00
20201120_09:00:21.86,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.10,-0.37,0.29,1.19,108.43,0.73,-0.73,0.39,1.11,135.00,-0.37,0.00,0.34,0.50,270.00,0.37,0.37,0.78,0.94,45.00,0.00,0.00,0.49,0.49,0.00,0.37,-0.37,0.49,0.71,135.00,-0.37,0.73,0.54,0.98,333.43,0.00,0.73,0.69,1.00,0.00,0.37,-0.37,0.49,0.71,135.00
20201120_09:00:22.39,99.9,99.9,999.9,001,0.00,-0.37,0.24,0.44,180.00,1.10,-0.37,0.29,1.19,108.43,0.37,-0.73,0.34,0.89,153.43,0.37,0.00,0.34,0.50,90.00,0.37,0.37,0.78,0.94,45.00,0.00,0.00,0.49,0.49,0.00,0.00,-0.37,0.44,0.57,180.00,0.00,0.73,0.49,0.88,0.00,0.00,-0.37,0.44,0.57,180.00,0.37,-0.73,0.54,0.98,153.43
20201120_09:00:22.91,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.10,-0.37,0.29,1.19,108.43,0.73,-0.37,0.24,0.85,116.57,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.69,0.69,0.00,0.00,0.00,0.49,0.49,0.00,-0.37,0.00,0.54,0.65,270.00,0.00,0.73,0.49,0.88,0.00,0.00,0.73,0.69,1.00,0.00,0.00,-0.37,0.54,0.65,180.00
20201120_09:00:23.44,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.46,-0.37,0.24,1.53,104.04,0.73,-0.37,0.24,0.85,116.57,0.37,0.00,0.34,0.50,90.00,0.37,-0.73,0.64,1.04,153.43,0.00,0.00,0.49,0.49,0.00,-0.37,0.00,0.54,0.65,270.00,0.00,0.00,0.39,0.39,0.00,0.00,-0.37,0.54,0.65,180.00,-0.37,-0.37,0.59,0.78,225.00
20201120_09:00:23.97,99.9,99.9,999.9,001,-0.37,0.00,0.24,0.44,270.00,1.46,-0.37,0.24,1.53,104.04,0.73,-0.37,0.24,0.85,116.57,0.37,0.00,0.34,0.50,90.00,0.37,-0.73,0.64,1.04,153.43,0.00,0.00,0.49,0.49,0.00,0.00,-0.37,0.54,0.65,180.00,0.00,0.00,0.39,0.39,0.00,0.37,-0.37,0.49,0.71,135.00,-0.37,-0.37,0.59,0.78,225.00
20201120_09:00:24.49,99.9,99.9,999.9,001,-0.37,0.00,0.24,0.44,270.00,1.10,-0.37,0.29,1.19,108.43,0.73,-0.37,0.24,0.85,116.57,0.37,0.00,0.34,0.50,90.00,0.37,-0.73,0.64,1.04,153.43,0.00,0.00,0.49,0.49,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:00:25.02,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.46,-0.37,0.34,1.55,104.04,0.37,-0.37,0.29,0.59,135.00,0.00,0.00,0.39,0.39,0.00,0.37,-0.37,0.59,0.78,135.00,0.00,-0.37,0.44,0.57,180.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:00:25.55,99.9,99.9,999.9,001,0.00,-0.37,0.15,0.39,180.00,1.46,-0.37,0.34,1.55,104.04,0.37,-0.73,0.24,0.85,153.43,0.37,0.00,0.44,0.57,90.00,0.00,0.37,0.64,0.73,0.00,0.00,-0.37,0.44,0.57,180.00,0.00,0.00,0.39,0.39,0.00,0.00,0.73,0.49,0.88,0.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00
20201120_09:00:26.07,99.9,99.9,999.9,001,0.00,-0.37,0.15,0.39,180.00,1.46,-0.37,0.34,1.55,104.04,0.37,-0.37,0.20,0.55,135.00,0.37,0.00,0.44,0.57,90.00,1.10,0.37,0.78,1.40,71.57,0.37,0.00,0.44,0.57,90.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00,0.00,-0.37,0.34,0.50,180.00,1.46,0.18,0.61,1.60,82.87
20201120_09:00:26.60,99.9,99.9,999.9,001,0.00,-0.37,0.15,0.39,180.00,1.46,0.00,0.29,1.49,90.00,0.37,-0.37,0.20,0.55,135.00,0.37,0.00,0.44,0.57,90.00,0.37,-0.37,0.49,0.71,135.00,0.37,0.00,0.44,0.57,90.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00,0.00,-0.37,0.34,0.50,180.00,1.46,0.18,0.61,1.60,82.87
20201120_09:00:27.13,99.9,99.9,999.9,001,0.37,0.37,0.29,0.59,45.00,1.83,0.00,0.24,1.84,90.00,0.73,-0.37,0.15,0.83,116.57,0.37,0.00,0.44,0.57,90.00,0.00,-0.37,0.54,0.65,180.00,0.37,0.00,0.44,0.57,90.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.73,0.00,0.49,0.88,90.00
20201120_09:00:27.66,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.46,0.00,0.29,1.49,90.00,0.37,-0.37,0.20,0.55,135.00,0.37,0.00,0.44,0.57,90.00,0.00,-0.37,0.54,0.65,180.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.73,0.00,0.49,0.88,90.00
20201120_09:00:28.18,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.46,0.00,0.29,1.49,90.00,0.00,-0.37,0.15,0.39,180.00,0.37,0.00,0.44,0.57,90.00,0.00,-0.37,0.54,0.65,180.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.73,0.00,0.49,0.88,90.00
20201120_09:00:28.71,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.10,0.00,0.34,1.15,90.00,0.00,-0.37,0.15,0.39,180.00,0.37,0.00,0.44,0.57,90.00,0.00,-0.37,0.44,0.57,180.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.73,0.00,0.49,0.88,90.00
20201120_09:00:29.24,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.10,0.00,0.34,1.15,90.00,0.37,-0.37,0.20,0.55,135.00,0.37,0.37,0.39,0.65,45.00,-0.37,0.37,0.59,0.78,315.00,0.00,0.00,0.39,0.39,0.00,0.00,0.00,0.39,0.39,0.00,0.00,-0.37,0.44,0.57,180.00,0.00,-0.37,0.54,0.65,180.00,0.73,0.00,0.49,0.88,90.00
20201120_09:00:29.76,99.9,99.9,999.9,001,0.00,0.00,0.20,0.20,0.00,1.10,0.00,0.34,1.15,90.00,0.73,-0.73,0.20,1.05,135.00,0.00,0.37,0.34,0.50,0.00,-0.37,0.00,0.64,0.73,270.00,0.00,0.00,0.39,0.39,0.00,0.37,0.00,0.44,0.57,90.00,0.00,-0.37,0.44,0.57,180.00,-0.37,-0.73,0.54,0.98,206.57,0.00,0.00,0.39,0.39,0.00
