100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20210401_13:02:13.86,99.9,99.9,999.9,001,2.56,2.56,-1.47,3.91,225.00,-0.73,3.47,0.32,3.56,168.11,-2.56,-0.00,-0.34,2.58,90.00,-1.83,9.50,0.15,9.68,169.11,2.19,2.92,-0.20,3.66,216.87,-1.10,8.41,0.20,8.48,172.57,-5.12,12.43,0.00,13.44,157.62,5.85,6.21,-1.81,8.72,223.26,-0.00,-3.66,-2.94,4.69,0.00,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:14.39,99.9,99.9,999.9,001,2.56,2.56,-1.47,3.91,225.00,-0.73,3.66,0.29,3.74,168.69,-2.92,-0.00,-0.29,2.94,90.00,-1.83,9.50,0.15,9.68,169.11,-0.00,2.01,-0.02,2.01,180.00,-1.10,8.22,0.22,8.30,172.41,-5.12,12.43,0.00,13.44,157.62,5.85,6.21,-1.81,8.72,223.26,0.18,-3.66,-2.91,4.68,357.14,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:14.91,99.9,99.9,999.9,001,2.56,2.19,-1.52,3.70,229.40,0.73,3.84,0.27,3.92,190.78,-2.92,-0.00,-0.29,2.94,90.00,-1.83,8.04,0.34,8.25,167.20,0.91,2.92,-0.02,3.06,197.35,-0.18,9.14,-0.02,9.14,178.85,-5.12,12.43,0.00,13.44,157.62,5.85,6.21,-1.81,8.72,223.26,-2.38,-3.66,-2.57,5.06,33.02,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:15.44,99.9,99.9,999.9,001,2.56,2.19,-1.52,3.70,229.40,1.83,4.02,0.10,4.42,204.44,-1.83,-0.00,-0.44,1.88,90.00,-1.83,8.04,0.34,8.25,167.20,0.91,2.92,-0.02,3.06,197.35,0.73,9.14,-0.15,9.17,184.57,-5.12,8.41,-0.34,9.85,148.67,5.85,6.21,-1.81,8.72,223.26,-0.37,-3.66,-2.30,4.33,5.71,-1.46,-0.37,-1.52,2.14,75.96
20210401_13:02:15.97,99.9,99.9,999.9,001,2.56,2.19,-1.52,3.70,229.40,1.10,4.02,0.00,4.17,195.26,-1.83,-0.37,-0.39,1.90,78.69,-1.10,8.04,0.44,8.13,172.23,0.91,2.92,-0.02,3.06,197.35,0.73,9.14,-0.15,9.17,184.57,-5.12,8.41,-0.34,9.85,148.67,5.85,6.21,-1.81,8.72,223.26,-0.37,-3.66,-2.30,4.33,5.71,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:16.49,99.9,99.9,999.9,001,2.56,2.19,-1.52,3.70,229.40,1.10,4.39,-0.05,4.52,194.04,-2.92,-0.37,-0.24,2.96,82.87,-0.37,8.04,0.54,8.07,177.40,0.91,2.92,-0.02,3.06,197.35,0.73,9.14,-0.15,9.17,184.57,-5.12,8.41,-0.34,9.85,148.67,0.73,6.21,-1.13,6.36,186.71,-0.37,-3.66,-2.30,4.33,5.71,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:17.02,99.9,99.9,999.9,001,2.92,2.19,-1.47,3.94,233.13,0.37,4.39,0.05,4.40,184.76,-3.66,0.37,-0.24,3.68,95.71,-0.37,8.04,0.54,8.07,177.40,0.91,2.92,-0.02,3.06,197.35,0.73,9.14,-0.15,9.17,184.57,-5.12,8.41,-0.34,9.85,148.67,0.73,6.21,-1.13,6.36,186.71,-0.37,-3.66,-2.30,4.33,5.71,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:17.55,99.9,99.9,999.9,001,0.73,2.19,-1.18,2.59,198.43,-0.73,4.39,-0.10,4.45,170.54,-3.66,0.37,-0.24,3.68,95.71,-0.37,8.04,0.54,8.07,177.40,0.91,2.92,-0.02,3.06,197.35,0.73,9.14,-0.15,9.17,184.57,-5.12,8.41,-0.34,9.85,148.67,1.28,6.21,-1.20,6.46,191.63,-0.37,-3.66,-2.30,4.33,5.71,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:18.07,99.9,99.9,999.9,001,0.73,2.19,-1.18,2.59,198.43,-0.73,4.39,-0.10,4.45,170.54,-3.66,-0.37,-0.15,3.68,84.29,-0.37,8.04,0.54,8.07,177.40,0.91,2.92,-0.02,3.06,197.35,0.73,9.14,-0.15,9.17,184.57,-5.12,8.41,-0.34,9.85,148.67,0.73,6.21,-1.13,6.36,186.71,-0.37,-3.66,-2.30,4.33,5.71,-1.46,-0.73,-1.47,2.20,63.43
20210401_13:02:18.60,99.9,99.9,999.9,001,0.73,2.19,-1.18,2.59,198.43,2.74,4.39,-0.42,5.19,212.01,-4.20,-0.37,-0.07,4.22,85.03,-0.37,8.04,0.54,8.07,177.40,1.46,2.92,0.05,3.27,206.57,2.74,9.14,-0.42,9.55,196.70,4.39,7.31,-1.47,8.65,210.96,0.73,6.21,-1.13,6.36,186.71,-0.37,-3.66,-2.30,4.33,5.71,-1.46,-0.73,-1.47,2.20,63.43
